date,Target_Flower,Google_Trend_Score
"Mar 2 – 8, 2025",rose,69
"Mar 9 – 15, 2025",rose,69
"Mar 16 – 22, 2025",rose,71
"Mar 23 – 29, 2025",rose,69
"Mar 30 – Apr 5, 2025",rose,75
"Apr 6 – 12, 2025",rose,73
"Apr 13 – 19, 2025",rose,86
"Apr 20 – 26, 2025",rose,72
"Apr 27 – May 3, 2025",rose,74
"May 4 – 10, 2025",rose,79
"May 11 – 17, 2025",rose,79
"May 18 – 24, 2025",rose,75
"May 25 – 31, 2025",rose,73
"Jun 1 – 7, 2025",rose,74
"Jun 8 – 14, 2025",rose,73
"Jun 15 – 21, 2025",rose,75
"Jun 22 – 28, 2025",rose,70
"Jun 29 – Jul 5, 2025",rose,70
"Jul 6 – 12, 2025",rose,69
"Jul 13 – 19, 2025",rose,72
"Jul 20 – 26, 2025",rose,72
"Jul 27 – Aug 2, 2025",rose,73
"Aug 3 – 9, 2025",rose,77
"Aug 10 – 16, 2025",rose,76
"Aug 17 – 23, 2025",rose,77
"Aug 24 – 30, 2025",rose,76
"Aug 31 – Sep 6, 2025",rose,75
"Sep 7 – 13, 2025",rose,71
"Sep 14 – 20, 2025",rose,69
"Sep 21 – 27, 2025",rose,70
"Sep 28 – Oct 4, 2025",rose,73
"Oct 5 – 11, 2025",rose,72
"Oct 12 – 18, 2025",rose,69
"Oct 19 – 25, 2025",rose,75
"Oct 26 – Nov 1, 2025",rose,67
"Nov 2 – 8, 2025",rose,66
"Nov 9 – 15, 2025",rose,72
"Nov 16 – 22, 2025",rose,70
"Nov 23 – 29, 2025",rose,74
"Nov 30 – Dec 6, 2025",rose,71
"Dec 7 – 13, 2025",rose,75
"Dec 14 – 20, 2025",rose,72
"Dec 21 – 27, 2025",rose,74
"Dec 28, 2025 – Jan 3, 2026",rose,91
"Jan 4 – 10, 2026",rose,70
"Jan 11 – 17, 2026",rose,73
"Jan 18 – 24, 2026",rose,70
"Jan 25 – 31, 2026",rose,74
"Feb 1 – 7, 2026",rose,87
"Feb 8 – 14, 2026",rose,100
"Feb 15 – 21, 2026",rose,97
"Feb 22 – 28, 2026",rose,76
"Mar 1 – 7, 2026",rose,70
"Mar 8 – 14, 2026",rose,75
"Mar 2 – 8, 2025",tulip,59
"Mar 9 – 15, 2025",tulip,57
"Mar 16 – 22, 2025",tulip,71
"Mar 23 – 29, 2025",tulip,73
"Mar 30 – Apr 5, 2025",tulip,84
"Apr 6 – 12, 2025",tulip,82
"Apr 13 – 19, 2025",tulip,100
"Apr 20 – 26, 2025",tulip,96
"Apr 27 – May 3, 2025",tulip,92
"May 4 – 10, 2025",tulip,84
"May 11 – 17, 2025",tulip,64
"May 18 – 24, 2025",tulip,50
"May 25 – 31, 2025",tulip,45
"Jun 1 – 7, 2025",tulip,42
"Jun 8 – 14, 2025",tulip,41
"Jun 15 – 21, 2025",tulip,39
"Jun 22 – 28, 2025",tulip,39
"Jun 29 – Jul 5, 2025",tulip,39
"Jul 6 – 12, 2025",tulip,41
"Jul 13 – 19, 2025",tulip,40
"Jul 20 – 26, 2025",tulip,41
"Jul 27 – Aug 2, 2025",tulip,44
"Aug 3 – 9, 2025",tulip,46
"Aug 10 – 16, 2025",tulip,45
"Aug 17 – 23, 2025",tulip,45
"Aug 24 – 30, 2025",tulip,45
"Aug 31 – Sep 6, 2025",tulip,47
"Sep 7 – 13, 2025",tulip,48
"Sep 14 – 20, 2025",tulip,48
"Sep 21 – 27, 2025",tulip,50
"Sep 28 – Oct 4, 2025",tulip,50
"Oct 5 – 11, 2025",tulip,50
"Oct 12 – 18, 2025",tulip,48
